size,beds ,floors,age,Price
1277,2,1,25,312.4
1141,2,2,21,358.8
1540,3,1,42,402.3
1356,3,1,1,413.8
1645,3,2,78,363.9
859,2,1,37,238.0
1826,3,2,44,469.3
1042,1,1,6,306.6
1052,1,1,35,260.9
1262,2,1,46,287.6
1115,2,1,12,323.1
1490,3,2,28,360.9
1111,2,2,32,322.9
938,1,1,20,268.4
1013,1,1,12,249.1
2109,3,2,30,515.2
1370,2,1,7,397.4
908,1,1,32,252.6
1354,3,1,19,332.2
795,1,1,10,234.4
2481,4,2,29,604.7
804,1,1,56,171.0
1589,2,2,29,390.0
1624,2,1,63,383.4
825,1,1,38,218.2
1495,2,2,32,364.8
1895,2,2,17,486.8
1583,4,2,77,409.5
1475,2,1,57,344.5
1864,3,2,58,398.0
1426,2,2,40,318.8
1514,2,1,27,367.4
1293,1,2,31,287.9
1674,3,1,11,428.8
980,2,1,62,261.5
1767,2,2,10,387.1
1137,2,1,40,286.9
932,1,1,19,272.2
1529,2,2,31,372.9
2401,4,2,14,595.0
1872,3,1,30,459.0
1133,2,2,,350.8
1712,2,2,100,412.2
1157,2,1,94,245.9
1294,2,2,35,317.2
1392,2,2,48,318.3
720,2,1,22,204.2
1441,2,1,28,376.3
951,1,1,20,275.0
1065,2,1,10,320.8
818,1,,28,239.0
806,1,1,14,285.3
980,1,1,22,296.4
1787,3,1,41,444.4
2379,4,2,41,536.6
1338,1,1,36,312.6
1957,4,2,45,440.5
1234,3,1,23,322.3
720,2,1,14,244.6
1421,2,2,27,340.8
1571,3,1,12,395.5
1167,2,1,46,339.1
1496,3,2,39,378.5
1640,3,2,11,402.2
1007,1,1,23,243.6
817,2,1,25,246.5
1252,2,1,17,356.6
1257,1,1,45,294.0
1197,2,1,25,338.7
1888,3,2,43,457.7
2427,4,2,13,564.3
1172,2,1,14,349.8
1712,3,2,58,391.4
"1,859",3,2,25,509.4
1720,3,2,54,393.8
1928,2,2,49,436.2
1183,2,1,13,314.7
1736,4,1,39,417.7
2687,5,2,34,639.1
1774,3,2,32,436.4
1093,2,1,78,271.9
1660,3,2,42,420.1
2074,4,2,57,519.2
1530,3,1,17,400.1
1115,2,1,68,289.1
2281,3,2,50,543.6
883,2,1,87,192.2
1602,2,2,69,420.9
1343,2,1,25,381.2
900,1,1,36,254.1
2044,3,2,44,473.0
1520,1,1,11,378.1
908,1,1,71,201.6
1656,3,2,32,426.7
1166,2,1,8,302.9
720,1,1,67,177.1
1068,2,1,18,287.5
1477,3,2,31,428.6
1676,3,1,11,450.1
1428,2,1,41,383.9
1371,2,1,47,384.5
1584,2,2,29,410.1
1257,2,1,57,344.4
2014,2,1,27,474.1
1420,2,2,37,375.6
1492,2,2,8,381.0
1623,4,1,69,374.8
942,1,1,28,292.0
1061,2,1,23,307.8
2270,3,2,28,527.0
1513,3,1,11,402.3
1226,1,2,47,285.3
1516,2,2,100,295.5
1146,1,1,19,269.3
1484,2,1,51,370.2
1076,2,2,15,347.4
1483,3,2,33,385.0
790,1,1,13,213.1
2123,3,2,4,528.8
1134,3,2,28,377.9
789,1,1,49,175.4
1251,2,1,,268.9
1190,1,1,100,215.6
1422,1,2,32,373.9
915,1,1,38,211.3
1545,3,1,63,359.8
3400,5,2,56,715.5
874,1,1,76,186.1
1514,3,1,32,351.0
1215,2,2,44,328.6
1441,3,2,29,372.3
729,2,1,46,197.0
913,1,1,19,288.1
1578,3,2,25,421.8
1332,1,2,28,399.5
2354,4,2,25,576.3
1062,2,,51,268.7
1433,3,2,23,392.2
3400,5,2,48,810.4
1041,2,1,59,284.7
993,2,1,24,275.7
1334,2,1,3,374.4
1330,1,2,61,295.1
1799,3,2,19,476.1
1411,2,1,5,366.5
1044,1,1,35,255.4
1451,3,2,34,391.6
3311,5,2,41,767.8
2080,4,2,28,533.9
720,1,1,27,236.3
1286,1,2,,359.4
1003,2,1,56,192.5
1668,3,2,53,396.4
1273,2,2,49,316.2
2604,4,2,46,602.5
1853,3,2,40,490.1
1827,3,2,15,487.6
1438,2,2,66,291.2
1332,1,1,56,299.6
1516,3,1,31,376.0
2097,3,2,17,533.5
1619,2,1,39,379.1
1198,2,2,73,236.0
2083,3,2,85,420.2
1441,1,1,25,343.5
1315,3,2,20,321.0
1032,2,1,28,282.1
1114,2,,75,243.7
1087,2,2,53,308.7
720,1,1,30,211.8
1908,1,2,27,432.8
1637,3,2,27,418.5
1255,3,1,55,309.1
1927,4,2,14,523.0
1567,2,1,35,351.7
1532,2,2,6,358.3
720,1,1,48,262.3
1247,1,1,16,343.4
1618,2,1,40,379.8
2334,3,2,21,613.3
2524,5,2,28,577.1
2192,3,2,60,468.5
910,2,1,28,251.8
720,1,1,63,191.5
1639,2,1,25,387.1
1363,3,1,47,355.4
1873,2,2,18,453.7
1293,2,2,16,390.3
1455,3,2,60,364.8
811,1,1,2,219.9
1572,2,2,68,354.1
1160,2,1,58,248.6
1521,2,1,78,317.7
1578,2,1,61,349.2
1297,1,1,30,373.6
1504,2,2,85,318.8
1344,3,1,30,311.4
1748,3,2,100,367.2
1601,3,1,47,351.2
1121,3,1,38,346.1
1105,2,1,54,287.6
2442,5,2,40,615.1
1304,3,1,54,308.3
1891,2,2,38,418.7
1543,3,2,58,378.4
1114,2,1,16,278.3
1047,2,1,27,264.5
1406,2,1,34,327.5
1473,2,2,21,382.3
1664,2,1,64,324.3
878,1,1,17,205.9
1103,1,1,51,296.3
1307,2,1,24,325.2
2326,3,2,37,531.3
720,2,1,18,252.4
1567,2,1,53,366.0
1124,2,1,100,209.4
1563,3,1,20,389.9
1142,2,1,43,327.9
1528,3,2,46,411.8
2298,3,2,31,555.3
1523,3,1,100,350.3
1564,3,2,27,361.7
1532,3,1,71,345.0
1046,1,1,70,224.6
1624,2,2,30,357.2
1258,2,1,52,308.7
1024,1,1,55,259.0
1332,3,1,,353.9
1250,3,1,13,307.3
1744,2,2,30,420.8
1330,2,2,32,353.9
1128,2,1,31,293.2
2215,4,2,33,538.6
1889,3,2,16,491.0
2079,3,2,61,500.9
1660,3,2,24,434.5
1301,2,1,7,420.3
1171,1,1,,306.1
1228,1,1,27,317.1
1863,3,2,14,495.4
1402,2,1,40,337.9
815,1,1,14,240.7
1332,2,2,79,330.4
834,2,1,83,138.9
1428,2,2,25,330.9
897,2,1,14,326.0
878,2,1,53,248.8
1406,2,2,51,356.2
1315,1,1,39,321.0
767,2,1,69,200.7
1741,3,2,15,430.1
2817,5,2,67,610.6
816,2,1,30,218.6
2506,4,2,37,609.2
1069,3,1,16,331.6
1141,1,1,29,298.4
1270,2,1,45,320.2
826,1,1,22,239.3
2100,4,2,26,490.5
1596,3,2,20,463.5
1046,1,1,41,278.6
1229,3,1,13,344.1
806,1,1,33,241.9
1199,2,1,20,355.2
1856,3,2,56,460.3
753,1,1,12,256.0
1164,2,1,35,322.2
1419,2,2,61,329.5
1928,3,2,57,476.6
2136,4,2,25,549.7
1156,2,2,54,317.9
1050,2,2,24,275.1
1573,3,1,76,360.7
1193,2,1,32,326.8
1215,3,1,32,345.6
1949,3,2,17,425.7
2398,4,2,86,464.2
1478,3,1,91,318.6
1265,2,1,45,286.5
1639,2,2,52,393.9
720,1,1,24,218.8
1342,2,1,81,306.9
941,2,1,20,263.1
3042,5,2,18,683.6
1725,2,2,23,443.1
1416,3,1,42,344.7
1264,3,2,62,288.0
720,2,1,44,162.5
1720,3,2,22,519.0
2349,3,,44,524.2
1054,2,1,51,258.6
1703,2,2,51,348.3
1726,3,2,85,351.5
798,1,,22,232.9
1856,3,1,38,443.6
2140,3,2,10,549.7
1459,3,1,39,343.8
1321,3,,80,305.9
1765,4,2,47,463.3
800,1,1,48,197.2
1394,2,1,71,303.5
1932,3,2,28,429.4
885,2,2,61,216.9
1892,3,1,28,418.4
1171,2,2,35,332.9
720,1,1,21,219.0
1302,2,1,26,374.9
970,2,2,95,221.5
1505,3,2,49,393.7
906,1,2,40,264.1
1929,3,2,35,470.9
1050,1,2,31,260.7
1524,2,1,20,423.2
1103,1,1,10,302.6
1210,1,1,23,265.2
2024,3,2,27,477.3
1453,3,1,23,350.6
1180,2,1,21,347.9
882,1,1,54,244.3
2003,3,2,78,472.1
1732,3,2,48,470.4
1208,2,1,55,272.1
1466,3,1,14,343.0
951,2,1,35,239.1
956,2,1,35,273.4
1019,2,1,21,222.5
1522,2,2,26,374.9
1493,2,1,62,353.6
1048,3,1,64,240.0
1735,3,1,55,392.6
1763,3,1,40,393.9
1432,2,2,17,426.2
1922,3,2,77,468.9
1224,2,1,50,271.1
1299,2,1,41,298.4
1585,3,1,50,376.9
1334,2,1,35,349.6
1768,3,2,23,460.3
882,2,1,16,286.7
2192,3,2,21,553.9
1035,2,1,55,287.9
1276,2,2,23,396.3
845,2,1,61,222.1
1656,2,2,73,355.1
2082,3,1,16,500.1
1943,5,2,43,541.0
1792,3,2,4,497.0
795,2,1,30,259.7
1035,2,1,26,323.4
1154,2,1,2,367.6
982,1,1,21,332.9
1977,3,2,24,469.0
1437,3,1,41,364.0
1339,3,1,19,383.1
1593,2,2,29,422.9
977,1,1,11,274.1
991,1,1,10,246.8
1000,2,1,42,260.0
1599,2,1,21,380.5
1516,2,1,38,362.1
1643,3,2,34,445.0
1948,2,2,47,465.3
851,1,,56,184.6
1116,1,1,15,285.7
1419,2,2,27,377.2
853,1,1,75,221.8
1127,2,2,15,330.1
1906,3,2,87,414.8
1964,3,2,16,456.6
1947,3,2,9,486.3
1370,2,1,42,313.4
1256,2,1,52,306.8
1949,3,1,21,465.1
1189,2,1,25,295.8
1515,3,1,17,369.7
2118,3,2,73,466.9
1191,3,1,16,322.4
1097,2,1,65,286.8
1346,2,1,92,279.2
1655,3,2,52,392.4
1591,2,2,8,444.7
1423,2,1,44,309.8
1631,3,1,38,417.9
784,1,1,29,209.4
1008,2,1,49,276.7
1427,2,1,29,338.8
984,2,2,28,266.6
856,1,1,28,195.3
895,2,1,72,214.7
988,1,1,25,280.4
1271,2,1,55,265.0
954,1,1,34,296.8
1462,2,1,34,356.1
2403,4,2,100,467.4
1284,2,,61,344.5
2082,3,2,12,507.8
1489,3,1,56,386.1
923,1,1,30,180.8
1237,2,1,29,374.3
967,1,1,21,273.2
1753,4,2,22,458.8
912,2,1,50,247.4
2117,4,1,100,400.5
1643,2,2,41,418.9
720,1,2,32,236.8
1763,2,2,38,428.8
2289,4,2,47,516.0
1032,1,1,50,220.7
1887,4,2,31,482.7
732,1,1,68,196.5
1471,3,2,26,395.2
767,2,2,39,233.4
1591,2,2,46,368.1
735,1,1,31,233.2
720,2,1,31,260.3
1545,3,1,41,371.6
2939,4,2,100,571.4
1102,1,1,37,337.1
1790,2,2,35,390.1
1402,2,1,11,375.7
1209,2,2,58,296.3
1664,4,2,30,466.6
2360,4,2,33,554.1
887,1,1,34,198.7
1635,2,2,12,396.5
1518,3,2,2,428.0
832,2,1,55,218.8
2338,3,2,100,455.2
2619,5,2,27,608.6
976,1,1,24,227.9
2438,4,2,11,558.1
1376,2,1,100,255.5
unknown,3,2,59,304.6
2251,3,2,32,523.7
1459,2,2,30,344.5
1507,3,1,30,418.7
2262,4,2,56,472.2
2092,4,2,12,552.4
1829,3,1,30,452.3
839,1,1,53,250.7
791,2,1,21,282.1
1980,4,2,40,448.7
985,2,1,61,250.1
1420,3,1,41,371.9
937,1,2,28,293.2
1268,2,2,31,351.2
874,2,1,71,196.7
2350,4,2,71,548.4
955,1,1,89,192.3
1295,2,2,57,304.2
1266,3,1,11,361.4
2034,3,2,38,471.2
833,2,1,34,225.9
1335,2,2,10,376.0
1257,2,1,40,378.3
1617,3,1,28,410.9
1585,3,2,9,433.1
1153,1,1,20,292.9
1465,2,1,60,338.9
1189,2,1,44,267.7
1583,2,2,52,386.2
1304,1,1,51,305.6
1080,2,1,55,267.7
1337,2,1,34,346.1
1528,2,1,,326.4
2917,5,2,100,617.5
1142,1,1,33,301.7
1498,4,1,23,412.0
2220,3,2,68,484.9
720,1,1,15,252.2
746,1,1,54,189.8
901,1,1,41,267.9
1299,3,2,56,327.1
3095,5,2,32,736.4
1542,3,1,41,382.1
2036,3,2,13,508.4
1252,3,2,20,334.3
720,1,1,55,204.1
720,1,1,66,185.9
1909,3,,54,444.2
1438,2,1,10,388.1
868,2,1,37,249.2
1974,3,2,,476.4
800,1,1,17,214.1
1985,3,2,40,487.1
2211,3,,,514.0
1041,1,1,32,308.7
926,2,1,22,321.8
1799,3,2,39,459.2
930,2,1,43,266.7
1810,3,2,25,469.5
899,1,1,48,231.2
1777,2,2,27,420.2
1394,3,1,46,279.0
1165,1,1,14,331.5
996,1,1,52,256.5
1464,2,1,10,383.7
720,1,1,3,246.5
1229,2,1,56,315.7
1180,2,1,37,325.4
1700,3,2,44,420.3
881,1,1,73,193.0
2417,4,2,64,551.4
1214,2,1,24,342.3
917,2,1,22,325.1
2163,3,2,100,418.7
2376,5,2,19,600.1
1267,2,2,23,325.7
997,2,1,10,286.7
1357,2,1,10,421.2
1068,2,1,43,265.9
1214,1,2,100,242.2
2293,3,2,14,540.8
1542,2,1,23,404.6
1418,3,1,27,357.7
1519,2,2,14,361.6
1324,3,1,25,356.5
1797,3,1,11,474.2
1820,2,2,48,421.0
1191,2,1,13,333.8
1399,3,1,55,317.9
3067,4,2,13,685.1
1558,2,2,35,387.6
1267,2,1,12,316.7
2710,5,2,59,595.5
1354,3,1,73,283.5
930,1,1,14,263.8
1698,3,1,37,427.8
994,2,1,83,219.4
1140,2,1,83,274.7
1508,4,1,26,405.6
1293,2,1,31,326.0
1041,2,1,33,258.8
1119,2,1,23,308.4
1103,2,1,5,293.1
2007,3,2,17,517.9
1057,1,1,20,253.0
1111,2,2,11,296.5
2700,4,2,29,603.0
1118,2,1,88,195.9
2240,3,2,11,550.4
2112,3,2,30,485.4
1282,2,2,49,310.6
833,1,1,25,255.2
1575,3,2,76,303.9
1697,3,2,92,357.7
1876,5,2,41,481.7
1383,2,2,40,374.9
2033,3,2,51,471.3
2166,3,2,40,487.2
943,1,1,24,284.0
2195,4,2,19,565.4
1433,2,2,67,385.1
1114,2,1,36,344.0
1211,3,2,13,353.2
2556,3,2,19,630.6
1886,3,2,30,468.5
735,1,1,31,190.7
1389,2,2,60,347.3
1287,2,1,34,356.8
1272,2,1,23,275.5
1134,2,1,26,338.0
823,2,1,8,247.0
1810,2,2,8,500.7
981,2,1,10,299.9
1190,2,1,33,311.7
1100,1,1,34,313.5
1054,2,1,21,287.6
1738,3,2,13,505.8
1538,3,1,40,351.8
1073,1,1,52,240.4
979,1,1,22,242.8
1151,2,1,13,335.1
1876,4,2,76,422.8
1409,2,1,20,381.1
1461,3,1,77,349.4
1207,1,1,46,305.3
1237,2,1,27,349.2
1453,2,1,55,359.4
721,1,1,55,185.6
2335,3,2,29,527.5
1033,1,1,38,238.1
1113,1,1,36,297.3
2128,4,2,18,517.9
1456,2,1,56,307.8
1369,2,2,26,340.6
1107,2,1,53,265.8
794,1,1,37,225.2
1438,2,1,51,327.2
2027,3,2,26,467.0
994,2,1,22,296.3
2146,4,2,58,436.8
920,1,1,22,249.9
1052,2,1,67,271.6
1603,3,2,33,414.0
1350,3,1,64,344.0
1707,1,2,37,401.6
1049,2,1,28,300.4
951,2,2,21,290.7
720,1,1,28,204.1
897,2,1,35,260.3
936,2,1,75,239.9
831,2,1,,208.3
1499,2,1,36,339.3
1077,2,1,31,236.1
720,1,,16,203.8
3141,5,2,16,695.7
1016,2,1,82,210.8
881,1,1,34,229.6
2058,2,2,22,512.7
2006,4,2,29,525.6
913,2,1,25,243.7
818,2,1,,213.0
961,1,1,28,272.8
1982,3,2,38,453.9
1214,3,1,25,319.6
1025,2,2,54,221.7
1337,2,1,24,359.4
2033,3,2,41,482.2
842,1,2,53,199.8
1185,2,2,58,259.6
843,1,1,7,231.8
2825,5,2,26,669.4
2505,4,2,65,536.1
1865,3,2,33,423.6
1290,1,2,33,317.9
1689,2,2,62,400.7
720,1,1,99,169.7
1483,3,2,75,373.1
857,1,1,45,224.0
860,2,1,23,262.5
1062,2,2,31,305.9
1198,1,1,22,323.8
1641,1,2,42,395.6
1713,2,2,35,389.5
1476,2,1,15,359.0
979,1,2,,273.3
1699,3,2,20,455.2
1296,3,2,42,328.9
2017,3,2,38,458.0
988,1,1,31,285.0
720,2,1,30,259.5
1148,2,1,26,283.6
2805,4,2,43,623.2
1583,2,2,7,447.3
1264,1,2,32,313.4
1823,3,2,39,463.1
1602,3,2,25,380.3
1579,3,2,51,378.2
1134,2,1,34,311.0
1385,3,2,39,398.4
1446,3,1,21,400.1
1085,2,1,37,243.2
923,1,1,58,182.2
1415,2,1,27,332.1
1876,2,2,29,469.4
1682,3,1,45,412.4
1597,2,2,18,436.5
1603,3,1,18,425.4
3250,5,2,38,710.2
1475,1,2,18,366.9
1924,3,2,39,437.0
2626,5,2,74,593.2
1375,1,1,,301.5
1477,2,1,11,382.9
1925,3,2,17,488.1
2396,3,2,10,605.3
1502,2,1,56,320.0
1527,2,2,36,388.0
1392,1,1,35,304.7
896,2,1,,296.5
1974,3,2,56,441.2
1239,1,2,19,324.6
753,1,1,12,213.7
1285,3,2,53,312.9
750,1,,34,197.5
959,2,1,27,255.3
1360,3,1,22,388.4
988,1,1,41,225.2
1946,4,2,11,509.7
821,2,1,34,258.3
1479,2,1,51,312.0
1636,3,2,48,344.4
2223,4,2,4,573.0
1852,3,2,80,362.3
1465,2,2,,335.4
1391,2,1,22,351.8
1327,3,1,,359.7
1994,3,2,90,411.5
1083,2,1,13,290.4
1617,3,2,96,367.4
1312,2,1,60,305.4
1470,3,2,100,359.1
1239,2,2,19,321.6
2800,5,2,10,669.5
1084,2,1,20,299.4
1477,2,1,32,372.5
1488,2,2,34,378.9
1666,3,1,5,434.2
1579,3,2,40,442.8
1566,3,2,28,401.4
1892,2,2,10,482.8
813,1,1,29,234.8
1360,2,1,72,281.3
891,2,1,16,287.7
1467,2,2,46,311.5
907,3,1,17,310.8
978,2,1,50,211.9
1328,2,1,5,353.0
2180,4,2,50,508.0
1650,3,1,72,348.5
1500,3,2,32,376.5
2185,3,,19,556.7
983,2,1,49,310.0
720,1,1,64,202.0
1174,3,1,35,316.6
1234,1,1,15,306.3
2064,4,2,20,497.2
2807,4,2,27,673.3
863,2,1,17,285.3
3149,5,2,44,731.8
2309,4,2,31,573.4
1804,4,2,37,483.1
1537,3,1,16,384.1
3095,5,2,91,621.3
1394,2,2,21,345.2
1155,2,1,16,317.0
1422,2,2,,379.8
852,1,1,35,233.7
1593,3,2,13,396.7
1307,3,1,31,345.2
1518,2,1,58,359.2
1533,2,1,67,334.7
946,2,1,74,153.1
2122,4,2,13,533.2
961,2,2,35,267.6
1835,4,2,20,496.4
789,2,1,11,252.3
1539,2,2,96,332.9
1027,2,1,43,256.6
1377,1,1,61,307.2
1087,1,1,3,331.0
720,2,1,69,176.2
929,1,1,94,190.6
1389,1,1,13,355.8
1678,2,1,48,394.0
823,1,1,,236.5
720,2,1,47,217.4
1009,3,2,,248.0
1263,3,2,15,358.2
1094,1,2,48,295.4
1031,1,1,11,305.0
1812,3,2,20,435.1
1885,4,2,45,437.6
1746,2,2,100,360.5
987,1,1,13,287.3
1393,2,1,25,362.6
1271,2,2,20,350.0
835,1,1,25,240.9
1832,3,1,56,435.3
1398,3,2,48,331.1
1151,2,1,24,275.0
2197,4,,35,548.6
1760,4,2,23,438.8
1816,2,2,18,466.3
2041,3,2,23,480.5
1732,3,2,5,432.9
883,2,1,57,262.2
unknown,2,1,35,302.0
1909,4,1,12,447.9
1045,2,2,14,308.2
1374,3,1,47,332.1
1553,2,1,27,373.2
2215,4,2,15,552.3
2110,4,2,100,412.1
1841,3,2,61,413.5
1273,3,2,13,378.2
1851,4,2,34,476.9
1623,2,1,35,384.5
1284,3,1,,301.4
2152,3,2,75,414.7
1605,3,2,76,396.8
1049,3,1,48,248.9
2086,4,2,62,464.5
1243,2,1,54,293.7
1659,3,1,21,425.9
807,2,1,20,249.1
1347,2,2,,317.1
983,2,2,99,211.8
974,1,2,41,310.5
720,1,1,13,290.0
2808,5,2,48,627.7
1288,2,1,31,341.3
1469,1,1,3,334.5
"1,975",4,2,43,480.3
1300,2,2,15,375.9
1613,2,2,47,374.9
853,2,1,65,254.8
1448,2,2,33,388.0
1177,2,1,25,326.8
1606,3,1,32,331.3
1440,2,1,65,303.1
845,1,1,35,246.7
721,1,1,29,201.5
959,2,1,38,216.4
1740,3,2,8,443.9
1564,2,2,3,456.2
1553,2,1,71,348.6
720,1,1,75,185.8
720,1,1,20,227.4
1095,2,1,55,304.6
1209,2,1,10,266.3
1102,1,1,67,214.1
1526,3,1,44,413.4
1276,2,1,17,363.9
904,2,1,14,279.9
1003,2,1,6,292.2
1420,2,1,32,305.5
1386,3,1,83,290.6
1318,3,1,87,280.9
2922,5,2,30,650.8
1236,2,2,83,309.2
